Day,Initial Spot Price,Index,Strike Price (Call),Strike Price (Put),Call Premium (Cost),Put Premium (Cost),Covered Call Profit,Protective Put Profit,Short Put Entry Profit,Covered Call Tooltip,Protective Put Tooltip,Short Put Entry Tooltip,S&P 500 Monthly %,Covered Call Profit Monthly %,Protective Put Profit Monthly %,Short Put Entry Profit Monthly %
1,4500,4665.579064951143,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,99.10620400523749,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",0.0,11.74457945519157,9.910620400523747,6.647286094590527
2,4500,4656.65280882718,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,90.17994788127453,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-0.19132150585591257,11.74457945519157,9.017994788127453,6.647286094590527
3,4500,4830.739105380903,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,264.26624443499804,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",3.738442690503452,11.74457945519157,26.4266244434998,6.647286094590527
4,4500,5222.760795208454,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,656.2879342625483,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",8.115149282040136,11.74457945519157,65.62879342625483,6.647286094590527
5,4500,5187.728245905956,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,621.2553849600508,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-0.6707668736166794,11.74457945519157,62.125538496005085,6.647286094590527
6,4500,5152.934941886699,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,586.4620809407934,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-0.6706847847459119,11.74457945519157,58.64620809407934,6.647286094590527
7,4500,5585.578661481297,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1019.1058005353916,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",8.396064077536947,11.74457945519157,101.91058005353916,6.647286094590527
8,4500,5827.834907150512,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1261.3620462046065,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",4.337173645764536,11.74457945519157,126.13620462046065,6.647286094590527
9,4500,5720.1731209680265,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1153.7002600221213,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-1.847371929674757,11.74457945519157,115.37002600221213,6.647286094590527
10,4500,5903.950855464451,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1337.4779945185455,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",3.212800217929823,11.74457945519157,133.74779945185455,6.647286094590527
11,4500,5796.6708455458975,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1230.1979845999922,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-1.817088464062322,11.74457945519157,123.01979845999922,6.647286094590527
12,4500,5690.6700955524275,4550,4450,67.4457945519157,66.47286094590527,117.4457945519157,1124.1972346065222,66.47286094590527,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)",-1.828648767851293,11.74457945519157,112.41972346065224,6.647286094590527
